,Data,AED,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EGP,EUR,GBP,HRK,100 HUF,INR,100 JPY,100 KRW,MDL,MXN,NOK,NZD,PLN,RSD,RUB,SEK,THB,TRY,UAH,USD,XAU,XDR,ZAR
0,2022-01-03,1.1859,3.1589,2.5295,0.7818,3.4356,4.7725,0.6853,0.1991,0.6652,0.2773,4.9474,5.8856,0.6580,1.3455,0.0586,3.7840,0.3650,0.2462,0.2123,0.4946,2.9740,1.0783,0.0421,0.0586,0.4811,0.1315,0.3265,0.1599,4.3559,255.7583,6.1040,0.2755
1,2022-01-04,1.1919,3.1565,2.5290,0.7704,3.4354,4.7720,0.6869,0.1995,0.6650,0.2780,4.9464,5.9153,0.6579,1.3534,0.0587,3.7783,0.3659,0.2452,0.2133,0.4937,2.9727,1.0813,0.0421,0.0584,0.4809,0.1316,0.3279,0.1604,4.3779,254.2395,6.1199,0.2744
2,2022-01-05,1.1908,3.1713,2.5288,0.7704,3.4391,4.7785,0.6868,0.2010,0.6649,0.2781,4.9460,5.9198,0.6578,1.3661,0.0588,3.7772,0.3652,0.2461,0.2139,0.4949,2.9792,1.0824,0.0421,0.0578,0.4829,0.1318,0.3269,0.1594,4.3739,255.7018,6.1175,0.2749
3,2022-01-06,1.1900,3.1348,2.5273,0.7656,3.4247,4.7587,0.6853,0.2013,0.6645,0.2781,4.9431,5.9135,0.6572,1.3700,0.0587,3.7721,0.3632,0.2444,0.2130,0.4930,2.9572,1.0828,0.0420,0.0574,0.4790,0.1305,0.3187,0.1590,4.3708,253.1450,6.1120,0.2774
4,2022-01-07,1.1903,3.1285,2.5276,0.7692,3.4393,4.7464,0.6856,0.2018,0.6646,0.2782,4.9436,5.9208,0.6573,1.3780,0.0588,3.7742,0.3634,0.2445,0.2142,0.4934,2.9528,1.0848,0.0420,0.0577,0.4798,0.1298,0.3164,0.1590,4.3720,251.8156,6.1141,0.2794
5,2022-01-10,1.1883,3.1427,2.5278,0.7747,3.4586,4.7364,0.6848,0.2028,0.6647,0.2779,4.9439,5.9286,0.6570,1.3819,0.0589,3.7770,0.3648,0.2443,0.2137,0.4948,2.9575,1.0890,0.0421,0.0582,0.4805,0.1299,0.3186,0.1587,4.3647,252.5851,6.1101,0.2796
6,2022-01-11,1.1880,3.1342,2.5284,0.7705,3.4535,4.7108,0.6846,0.2031,0.6648,0.2778,4.9452,5.9370,0.6574,1.3838,0.0590,3.7804,0.3658,0.2436,0.2143,0.4941,2.9528,1.0890,0.0421,0.0582,0.4806,0.1306,0.3174,0.1586,4.3637,253.2748,6.1110,0.2802
7,2022-01-12,1.1854,3.1385,2.5281,0.7818,3.4717,4.7133,0.6840,0.2023,0.6644,0.2772,4.9445,5.9315,0.6571,1.3874,0.0589,3.7717,0.3654,0.2427,0.2134,0.4977,2.9517,1.0909,0.0420,0.0584,0.4812,0.1305,0.3168,0.1571,4.3541,254.4439,6.1030,0.2812
8,2022-01-13,1.1743,3.1514,2.5275,0.7794,3.4552,4.7241,0.6781,0.2029,0.6644,0.2745,4.9435,5.9267,0.6569,1.3908,0.0583,3.7649,0.3641,0.2418,0.2117,0.4984,2.9673,1.0919,0.0420,0.0578,0.4829,0.1298,0.3171,0.1556,4.3131,252.7403,6.0715,0.2817
9,2022-01-14,1.1746,3.1360,2.5274,0.7803,3.4542,4.7342,0.6793,0.2018,0.6643,0.2750,4.9432,5.9246,0.6575,1.3928,0.0582,3.7872,0.3632,0.2394,0.2125,0.4965,2.9558,1.0895,0.0420,0.0567,0.4822,0.1299,0.3183,0.1542,4.3142,252.8267,6.0756,0.2813
10,2022-01-17,1.1788,3.1273,2.5278,0.7822,3.4628,4.7390,0.6821,0.2023,0.6644,0.2760,4.9440,5.9242,0.6572,1.3911,0.0583,3.7824,0.3632,0.2395,0.2135,0.4959,2.9486,1.0928,0.0421,0.0566,0.4796,0.1308,0.3199,0.1541,4.3296,253.3930,6.0872,0.2813
11,2022-01-18,1.1816,3.1199,2.5281,0.7867,3.4676,4.7457,0.6832,0.2025,0.6644,0.2764,4.9445,5.9102,0.6575,1.3861,0.0582,3.7850,0.3639,0.2404,0.2129,0.4952,2.9394,1.0923,0.0421,0.0568,0.4795,0.1311,0.3206,0.1524,4.3401,252.5792,6.0938,0.2807
12,2022-01-19,1.1864,3.1424,2.5282,0.7828,3.4926,4.7586,0.6866,0.2037,0.6644,0.2774,4.9447,5.9367,0.6573,1.3868,0.0586,3.8052,0.3664,0.2407,0.2143,0.4975,2.9613,1.0927,0.0421,0.0570,0.4775,0.1320,0.3204,0.1534,4.3575,254.8024,6.1121,0.2833
13,2022-01-20,1.1866,3.1542,2.5284,0.8014,3.4893,4.7614,0.6869,0.2039,0.6645,0.2774,4.9452,5.9366,0.6571,1.3859,0.0585,3.8144,0.3662,0.2416,0.2127,0.4955,2.9539,1.0935,0.0421,0.0569,0.4781,0.1324,0.3240,0.1538,4.3585,257.4507,6.1142,0.2867
14,2022-01-21,1.1874,3.1405,2.5283,0.8047,3.4856,4.7821,0.6878,0.2032,0.6644,0.2775,4.9449,5.9178,0.6569,1.3843,0.0586,3.8290,0.3660,0.2416,0.2131,0.4930,2.9344,1.0912,0.0421,0.0570,0.4752,0.1325,0.3250,0.1540,4.3614,257.2300,6.1169,0.2882
15,2022-01-25,1.1929,3.1268,2.5278,0.7984,3.4669,4.7642,0.6922,0.2019,0.6641,0.2789,4.9440,5.9008,0.6564,1.3716,0.0586,3.8403,0.3657,0.2424,0.2122,0.4864,2.9259,1.0794,0.0421,0.0558,0.4713,0.1325,0.3236,0.1529,4.3816,258.9166,6.1327,0.2854
16,2022-01-26,1.1936,3.1457,2.5280,0.8053,3.4884,4.7621,0.6934,0.2017,0.6644,0.2785,4.9443,5.9238,0.6567,1.3742,0.0585,3.8393,0.3662,0.2439,0.2131,0.4935,2.9346,1.0781,0.0421,0.0553,0.4739,0.1330,0.3243,0.1523,4.3840,260.3177,6.1373,0.2891
